muni_code,municipality,registered voters,envelopes,valid votes,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
537624,Ostr·,433,302,300,54,0,0,18,0,33,12,11,3,1,0,2,32
537632,P·tek,546,391,387,54,0,0,13,0,43,15,3,1,9,1,1,52
537659,PÌskov· Lhota,386,242,241,34,0,0,20,0,20,28,2,2,0,0,0,23
537667,PÌsty,345,243,241,19,2,0,21,0,24,19,1,0,7,1,0,14
537683,PodÏbrady,11186,7570,7525,1 180,14,4,673,8,720,360,91,41,91,5,8,888
599590,Podmoky,166,98,98,11,0,0,6,1,7,6,0,2,2,0,0,11
537721,P¯erov nad Labem,915,612,608,94,3,0,29,1,34,51,7,5,7,1,2,98
537756,RoûÔalovice,1371,713,709,75,0,0,54,1,30,57,12,5,10,0,1,58
537764,Sadsk·,2595,1646,1630,213,5,0,86,0,108,139,25,12,18,4,2,158
537772,S·ny,431,256,255,22,0,0,11,0,47,19,1,2,8,0,0,18
534757,Seletice,173,120,118,12,0,0,11,0,11,8,2,2,0,0,0,8
537781,Semice,761,452,444,62,0,0,28,0,38,32,0,7,6,1,3,49
537799,Senice,165,117,117,13,0,0,4,0,11,13,0,0,2,0,0,4
537802,SloveË,426,256,252,23,1,0,20,0,18,29,4,1,4,0,0,20
537811,SokoleË,784,513,511,71,2,0,50,0,31,41,6,3,11,0,0,43
537837,Star· Lys·,445,293,292,32,1,0,11,0,18,13,4,2,6,0,0,44
534889,Star˝ Vestec,127,90,88,9,3,0,8,0,5,9,0,2,0,0,0,8
537853,Straky,414,259,258,20,0,1,16,0,20,14,1,8,1,1,0,23
537861,Stratov,432,269,266,26,1,0,17,0,13,29,1,1,1,0,0,53
537896,T¯ebestovice,651,422,419,45,0,1,23,0,32,25,8,3,3,0,0,43
537900,⁄myslovice,264,158,157,7,0,0,10,0,23,11,0,5,1,2,0,13
536083,Velenice,176,107,106,5,0,0,3,0,10,14,1,1,0,0,0,12
534871,Velenka,238,160,158,24,2,1,10,1,15,13,0,2,0,1,0,19
537942,Vestec,246,160,158,11,1,0,12,0,12,19,1,1,3,2,0,16
537951,Vlkov pod Oökobrhem,63,46,46,3,0,0,6,0,3,5,0,2,0,0,0,3
599611,Vrbice,141,104,104,12,0,0,6,0,3,9,2,1,1,0,0,6
537977,Vrbov· Lhota,408,240,240,38,0,0,20,0,32,9,4,4,5,0,0,20
537985,Vöechlapy,573,369,368,28,0,0,21,0,22,26,5,3,4,2,0,32
537993,Vyk·Ú,315,183,181,21,10,0,11,0,9,15,2,6,1,0,0,15
534471,Z·hornice,320,181,178,21,0,0,13,0,5,15,2,0,1,0,1,13
599697,ZboûÌËko,181,103,103,4,0,0,10,0,6,10,4,1,0,0,0,12
534862,ZvÏ¯Ìnek,195,154,154,33,0,0,10,0,7,13,0,0,1,0,0,22
503410,éitovlice,150,85,83,6,0,0,6,0,2,8,1,1,1,0,0,7
